instance_name,solver_name,total_distance_km,solve_time_seconds,optimality_gap_percent,num_locations,source_file
dense_location_13,RL Solver,24.276,0.011234760284423828,11.169116636900673,15,visualization/output/dense_location_13_routes.json
,,,,,,
dense_location_14,Branch & Bound,13.015,13.136845827102661,0.0,15,visualization/output/dense_location_14_routes.json
dense_location_14,Held-Karp (DP),13.015,0.2674682140350342,0.0,15,visualization/output/dense_location_14_routes.json
dense_location_14,Nearest Neighbor,16.995,0.0003788471221923828,30.580099884748368,15,visualization/output/dense_location_14_routes.json
dense_location_14,RL Solver,17.302000000000003,0.011371135711669922,32.938916634652344,15,visualization/output/dense_location_14_routes.json
,,,,,,
dense_location_15,Branch & Bound,14.582999999999998,12.109794855117798,0.0,15,visualization/output/dense_location_15_routes.json
dense_location_15,Held-Karp (DP),14.582999999999998,0.2588331699371338,0.0,15,visualization/output/dense_location_15_routes.json
dense_location_15,Nearest Neighbor,16.997,0.0001068115234375,16.55352122334226,15,visualization/output/dense_location_15_routes.json
dense_location_15,RL Solver,15.911999999999999,0.003970146179199219,9.113351162312288,15,visualization/output/dense_location_15_routes.json
,,,,,,
dense_location_16,Branch & Bound,13.58,14.923671007156372,0.0,15,visualization/output/dense_location_16_routes.json
dense_location_16,Held-Karp (DP),13.58,0.25409793853759766,0.0,15,visualization/output/dense_location_16_routes.json
dense_location_16,Nearest Neighbor,16.894000000000002,8.487701416015625e-05,24.40353460972019,15,visualization/output/dense_location_16_routes.json
dense_location_16,RL Solver,17.879,0.00897979736328125,31.65684830633285,15,visualization/output/dense_location_16_routes.json
,,,,,,
dense_location_17,Branch & Bound,12.363999999999999,19.544310092926025,0.0,15,visualization/output/dense_location_17_routes.json
dense_location_17,Held-Karp (DP),12.363999999999999,0.2601289749145508,0.0,15,visualization/output/dense_location_17_routes.json
dense_location_17,Nearest Neighbor,15.431999999999999,9.512901306152344e-05,24.813976059527658,15,visualization/output/dense_location_17_routes.json
dense_location_17,RL Solver,15.25,0.007005929946899414,23.34196053057264,15,visualization/output/dense_location_17_routes.json
,,,,,,
dense_location_18,Branch & Bound,11.734000000000002,0.7074480056762695,0.0,15,visualization/output/dense_location_18_routes.json
